Airport,AP_NAME,FAA REGION,CITY,STATE,AP Type
7B4,MILLER FARM LANDING STRIP,AGL,BALTIMORE,OH,Public Use
I61,HAGERSTOWN,AGL,HAGERSTOWN,IN,Public Use
WAY,GREENE COUNTY,AEA,WAYNESBURG,PA,Public Use
TZR,BOLTON FIELD,AGL,COLUMBUS,OH,Public Use
DAY,JAMES M COX DAYTON INTL,AGL,DAYTON,OH,Federalized/Commercial
N73,RED LION,AEA,VINCENTOWN,NJ,Public Use
K83,SABETHA MUNI,ACE,SABETHA,KS,Public Use
BJC,ROCKY MOUNTAIN METROPOLITAN,ANM,DENVER,CO,Public Use
04I,COLUMBUS SOUTHWEST,AGL,COLUMBUS,OH,Public Use
3I7,PHILLIPSBURG,AGL,PHILLIPSBURG,OH,Public Use
THV,YORK,AEA,YORK,PA,Public Use
MJX,ROBERT J. MILLER AIR PARK,AEA,TOMS RIVER,NJ,Public Use
UYF,MADISON COUNTY,AGL,LONDON,OH,Public Use
N14,FLYING W,AEA,LUMBERTON,NJ,Public Use
UMP,INDIANAPOLIS METROPOLITAN,AGL,INDIANAPOLIS,IN,Public Use
P72,PENN'S LANDING,AEA,PHILADELPHIA,PA,Public Use
UIN,QUINCY RGNL-BALDWIN FIELD,AGL,QUINCY,IL,Public Use
VAY,SOUTH JERSEY RGNL,AEA,MOUNT HOLLY,NJ,Public Use
0O4,CORNING MUNI,AWP,CORNING,CA,Public Use
2O1,GANSNER FIELD,AWP,QUINCY,CA,Public Use
ZZV,ZANESVILLE MUNI,AGL,ZANESVILLE,OH,Public Use
II9,WILBUR WRIGHT BIRTHPLACE,AGL,HAGERSTOWN,IN,Public Use
VVS,JOSEPH A. HARDY CONNELLSVILLE,AEA,CONNELLSVILLE,PA,Public Use
2A7,DEPARTMENT OF TRANSPORTATION,AGL,COLUMBUS,OH,Public Use
N68,FRANKLIN COUNTY RGNL,AEA,CHAMBERSBURG,PA,Public Use
K06,GREATER BEARDSTOWN,AGL,BEARDSTOWN,IL,Public Use
CDI,CAMBRIDGE MUNI,AGL,CAMBRIDGE,OH,Public Use
CFJ,CRAWFORDSVILLE MUNI,AGL,CRAWFORDSVILLE,IN,Public Use
MQS,CHESTER COUNTY G O CARLSON,AEA,COATESVILLE,PA,Public Use
I63,MOUNT STERLING MUNI,AGL,MOUNT STERLING,IL,Public Use
OQN,BRANDYWINE,AEA,WEST CHESTER,PA,Public Use
37I,TROY SKYPARK,AGL,TROY,OH,Public Use
CMH,PORT COLUMBUS INTL,AGL,COLUMBUS,OH,Federalized/Commercial
6G5,BARNESVILLE-BRADFIELD,AGL,BARNESVILLE,OH,Public Use
I80,NOBLESVILLE,AGL,NOBLESVILLE,IN,Public Use
2K0,PIATT COUNTY,AGL,MONTICELLO,IL,Public Use
42I,PARR,AGL,ZANESVILLE,OH,Public Use
6I4,BOONE COUNTY,AGL,LEBANON,IN,Public Use
7SP,SEVEN SPRINGS,AEA,SEVEN SPRINGS BOROUGH,PA,Public Use
EIK,ERIE MUNI,ANM,ERIE,CO,Public Use
1WF,WACO FIELD,AGL,TROY,OH,Public Use
07N,BERMUDIAN VALLEY AIRPARK,AEA,KRALLTOWN,PA,Public Use
I54,MAD RIVER INC,AGL,TREMONT CITY,OH,Public Use
0P8,LAZY B RANCH,AEA,DOVER,PA,Public Use
VTA,NEWARK-HEATH,AGL,NEWARK,OH,Public Use
8N7,MC GINNESS,AEA,COLUMBIA,PA,Public Use
2N6,REDWING,AEA,JOBSTOWN,NJ,Public Use
0Q5,SHELTER COVE,AWP,SHELTER COVE,CA,Public Use
TYQ,INDIANAPOLIS EXECUTIVE,AGL,INDIANAPOLIS,IN,Public Use
CMI,UNIVERSITY OF ILLINOIS-WILLARD,AGL,CHAMPAIGN/URBANA,IL,Federalized/Commercial
2G9,SOMERSET COUNTY,AEA,SOMERSET,PA,Public Use
BDU,BOULDER MUNI,ANM,BOULDER,CO,Public Use
S37,SMOKETOWN,AEA,SMOKETOWN,PA,Public Use
H63,HARLAN COUNTY LAKE,ACE,ALMA,NE,Public Use
12K,SUPERIOR MUNI,ACE,SUPERIOR,NE,Public Use
EEO,MEEKER,ANM,MEEKER,CO,Public Use
I72,WESTFIELD,AGL,WESTFIELD,IN,Public Use
2N5,KAMPEL,AEA,WELLSVILLE,PA,Public Use
20V,MC ELROY AIRFIELD,ANM,KREMMLING,CO,Public Use
2P7,ALDERMAN,AGL,ST CLAIRSVILLE,OH,Public Use
42V,JONES,ACE,BENKELMAN,NE,Public Use
N42,SHIPPENSBURG,AEA,SHIPPENSBURG,PA,Public Use
LOL,DERBY FIELD,AWP,LOVELOCK,NV,Public Use
N12,LAKEWOOD,AEA,LAKEWOOD,NJ,Public Use
00A,TOTAL RF,AEA,BENSALEM,PA,Public Use
FNB,BRENNER FIELD,ACE,FALLS CITY,NE,Public Use
OSU,OHIO STATE UNIVERSITY,AGL,COLUMBUS,OH,Public Use
PNE,NORTHEAST PHILADELPHIA,AEA,PHILADELPHIA,PA,Public Use
7V7,RED CLOUD MUNI,ACE,RED CLOUD,NE,Public Use
TRX,TRENTON MUNI,ACE,TRENTON,MO,Public Use
O16,GARBERVILLE,AWP,GARBERVILLE,CA,Public Use
HMZ,BEDFORD COUNTY,AEA,BEDFORD,PA,Public Use
GNB,GRANBY-GRAND COUNTY,ANM,GRANBY,CO,Public Use
38I,WELLER,AGL,URBANA,OH,Public Use
N71,DONEGAL SPRINGS AIRPARK,AEA,MOUNT JOY/MARIETTA,PA,Public Use
IRK,KIRKSVILLE RGNL,ACE,KIRKSVILLE,MO,Public Use
4V0,RANGELY,ANM,RANGELY,CO,Public Use
2V5,WRAY MUNI,ANM,WRAY,CO,Public Use
18V,PLATTE VALLEY AIRPARK,ANM,HUDSON,CO,Public Use
2V6,YUMA MUNI,ANM,YUMA,CO,Public Use
2D6,BANNOCK,AGL,BANNOCK,OH,Public Use
P99,W.P.H.S.,AEA,MOUNT PLEASANT,PA,Public Use
P45,MOUNT PLEASANT/SCOTTDALE,AEA,MOUNT PLEASANT,PA,Public Use
AID,ANDERSON MUNI-DARLINGTON FIELD,AGL,ANDERSON,IN,Public Use
08G,SALT FORK LODGE,AGL,CAMBRIDGE,OH,Public Use
4D9,ALMA MUNI,ACE,ALMA,NE,Public Use
50K,PAWNEE CITY MUNI,ACE,PAWNEE CITY,NE,Public Use
5K4,SCHUY-RUSH,AGL,RUSHVILLE,IL,Public Use
LNS,LANCASTER,AEA,LANCASTER,PA,Federalized/Commercial
6M6,LEWIS COUNTY RGNL,ACE,MONTICELLO,MO,Public Use
22D,BANDEL,AEA,EIGHTY FOUR,PA,Public Use
I74,GRIMES FIELD,AGL,URBANA,OH,Public Use
AFJ,WASHINGTON COUNTY,AEA,WASHINGTON,PA,Public Use
LOM,WINGS FIELD,AEA,PHILADELPHIA,PA,Public Use
H37,HERLONG,AWP,HERLONG,CA,Public Use
U77,SPANISH FORK-SPRINGVILLE,ANM,SPANISH FORK,UT,Public Use
C16,FRASCA FIELD,AGL,URBANA,IL,Public Use
RBL,RED BLUFF MUNI,AWP,RED BLUFF,CA,Public Use
HJH,HEBRON MUNI,ACE,HEBRON,NE,Public Use
7I2,REESE,AGL,MUNCIE,IN,Public Use
O03,MORGANTOWN,AEA,MORGANTOWN,PA,Public Use
AAA,LOGAN COUNTY,AGL,LINCOLN,IL,Public Use
LMO,VANCE BRAND,ANM,LONGMONT,CO,Public Use
I17,PIQUA AIRPORT- HARTZELL FIELD,AGL,PIQUA,OH,Public Use
I22,RANDOLPH COUNTY,AGL,WINCHESTER,IN,Public Use
HLG,WHEELING OHIO CO,AEA,WHEELING,WV,Public Use
AKO,COLORADO PLAINS RGNL,ANM,AKRON,CO,Public Use
5I4,SHERIDAN,AGL,SHERIDAN,IN,Public Use
FBY,FAIRBURY MUNI,ACE,FAIRBURY,NE,Public Use
BLM,MONMOUTH EXECUTIVE,AEA,BELMAR/FARMINGDALE,NJ,Public Use
9V2,TRENTON MUNI,ACE,TRENTON,NE,Public Use
N94,CARLISLE,AEA,CARLISLE,PA,Public Use
U69,DUCHESNE MUNI,ANM,DUCHESNE,UT,Public Use
MDT,HARRISBURG INTL,AEA,HARRISBURG,PA,Federalized/Commercial
DNV,VERMILION REGIONAL,AGL,DANVILLE,IL,Public Use
N48,HORSHAM VALLEY AIRWAYS INC,AEA,HORSHAM,PA,Public Use
N10,PERKIOMEN VALLEY,AEA,COLLEGEVILLE,PA,Public Use
VES,DARKE COUNTY,AGL,VERSAILLES,OH,Public Use
MCK,MC COOK BEN NELSON RGNL,ACE,MC COOK,NE,Public Use
FWQ,ROSTRAVER,AEA,MONONGAHELA,PA,Public Use
T42,RUTH,AWP,RUTH,CA,Public Use
N87,TRENTON-ROBBINSVILLE,AEA,ROBBINSVILLE,NJ,Public Use
CXY,CAPITAL CITY,AEA,HARRISBURG,PA,Public Use
PVU,PROVO MUNI,ANM,PROVO,UT,Federalized/Commercial
9I0,HAVANA RGNL,AGL,HAVANA,IL,Public Use
MRT,UNION COUNTY,AGL,MARYSVILLE,OH,Public Use
I99,ALEXANDRIA,AGL,ALEXANDRIA,IN,Public Use
8G6,HARRISON COUNTY,AGL,CADIZ,OH,Public Use
PTW,HERITAGE FIELD,AEA,POTTSTOWN,PA,Public Use
I12,SIDNEY MUNI,AGL,SIDNEY,OH,Public Use
MIE,DELAWARE COUNTY RGNL,AGL,MUNCIE,IN,Public Use
5V6,GEBAUER,ANM,AKRON,CO,Public Use
G05,FINLEYVILLE AIRPARK,AEA,FINLEYVILLE,PA,Public Use
80G,TRI-CITY,AGL,WEST LAFAYETTE,OH,Public Use
N47,POTTSTOWN MUNI,AEA,POTTSTOWN,PA,Public Use
K19,ALBANY MUNI,ACE,ALBANY,MO,Public Use
7V5,BRUSH MUNI,ANM,BRUSH,CO,Public Use
FKR,FRANKFORT MUNI,AGL,FRANKFORT,IN,Public Use
LBE,ARNOLD PALMER RGNL,AEA,LATROBE,PA,Federalized/Commercial
TTN,TRENTON MERCER,AEA,TRENTON,NJ,Federalized/Commercial
75K,BETHANY MEMORIAL,ACE,BETHANY,MO,Public Use
74V,ROOSEVELT MUNI,ANM,ROOSEVELT,UT,Public Use
DLZ,DELAWARE MUNI - JIM MOORE FIELD,AGL,DELAWARE,OH,Public Use
O05,ROGERS FIELD,AWP,CHESTER,CA,Public Use
58N,REIGLE FIELD,AEA,PALMYRA,PA,Public Use
08N,KELLER BROTHERS,AEA,LEBANON,PA,Public Use
TIP,RANTOUL NATL AVN CNTR-FRANK ELLIOTT FLD,AGL,RANTOUL,IL,Public Use
6CM,CHAPMAN MEMORIAL FIELD,AGL,CENTERBURG,OH,Public Use
AOO,ALTOONA-BLAIR COUNTY,AEA,ALTOONA,PA,Public Use
BIE,BEATRICE MUNI,ACE,BEATRICE,NE,Public Use
CSB,CAMBRIDGE MUNI,ACE,CAMBRIDGE,NE,Public Use
I40,RICHARD DOWNING,AGL,COSHOCTON,OH,Public Use
JST,JOHN MURTHA JOHNSTOWN-CAMBRIA CO,AEA,JOHNSTOWN,PA,Federalized/Commercial
4I3,KNOX COUNTY,AGL,MOUNT VERNON,OH,Public Use
3N6,OLD BRIDGE,AEA,OLD BRIDGE,NJ,Public Use
11V,EASTON/VALLEY VIEW/,ANM,GREELEY,CO,Public Use
78Y,RANKIN,ACE,MARYVILLE,MO,Public Use
DYL,DOYLESTOWN,AEA,DOYLESTOWN,PA,Public Use
31D,INTER COUNTY,AEA,IRWIN,PA,Public Use
FMM,FORT MORGAN MUNI,ANM,FORT MORGAN,CO,Public Use
37V,ARAPAHOE MUNI,ACE,ARAPAHOE,NE,Public Use
9D4,DECK,AEA,MYERSTOWN,PA,Public Use
EVU,NORTHWEST MISSOURI RGNL,ACE,MARYVILLE,MO,Public Use
AGC,ALLEGHENY COUNTY,AEA,PITTSBURGH,PA,Public Use
2G2,JEFFERSON COUNTY AIRPARK,AGL,STEUBENVILLE,OH,Public Use
6G4,WYNKOOP,AGL,MOUNT VERNON,OH,Public Use
EDJ,BELLEFONTAINE RGNL,AGL,BELLEFONTAINE,OH,Public Use
SVE,SUSANVILLE MUNI,AWP,SUSANVILLE,CA,Public Use
5G8,GREENSBURG JEANNETTE RGNL,AEA,JEANNETTE,PA,Public Use
RDG,READING RGNL/CARL A SPAATZ FIELD,AEA,READING,PA,Federalized/Commercial
K01,FARINGTON FIELD,ACE,AUBURN,NE,Public Use
CKZ,PENNRIDGE,AEA,PERKASIE,PA,Public Use
7G4,BLUE KNOB VALLEY,AEA,NEWRY,PA,Public Use
7N8,BUTTER VALLEY GOLF PORT,AEA,BALLY,PA,Public Use
39N,PRINCETON,AEA,PRINCETON/ROCKY HILL,NJ,Public Use
0G3,TECUMSEH MUNI,ACE,TECUMSEH,NE,Public Use
02P,STOTTLE MEMORIAL,AEA,HONEY GROVE,PA,Public Use
,,,,,
LAF,PURDUE UNIVERSITY,AGL,LAFAYETTE,IN,Public Use
U74,CRESCENT VALLEY,AWP,CRESCENT VALLEY,NV,Public Use
0H7,KAHOKA MUNI,ACE,KAHOKA,MO,Public Use
8I3,GLENNDALE,AGL,KOKOMO,IN,Public Use
UKT,QUAKERTOWN,AEA,QUAKERTOWN,PA,Public Use
GXY,GREELEY-WELD COUNTY,ANM,GREELEY,CO,Public Use
VEL,VERNAL RGNL,ANM,VERNAL,UT,Public Use
9N7,FARMERS PRIDE,AEA,FREDERICKSBURG,PA,Public Use
K57,GOULD PETERSON MUNI,ACE,TARKIO,MO,Public Use
03D,MEMPHIS MEMORIAL,ACE,MEMPHIS,MO,Public Use
1C1,PAXTON,AGL,PAXTON,IL,Public Use
PLD,PORTLAND MUNI,AGL,PORTLAND,IN,Public Use
FNL,FORT COLLINS-LOVELAND MUNI,ANM,FORT COLLINS/LOVELAND,CO,Federalized/Commercial
HDE,BREWSTER FIELD,ACE,HOLDREGE,NE,Public Use
4G0,PITTSBURGH-MONROEVILLE,AEA,MONROEVILLE,PA,Public Use
6G6,COVE VALLEY,AEA,WILLIAMSBURG,PA,Public Use
EOK,KEOKUK MUNI,ACE,KEOKUK,IA,Public Use
9G8,EBENSBURG,AEA,EBENSBURG,PA,Public Use
PHD,HARRY CLEVER FIELD,AGL,NEW PHILADELPHIA,OH,Public Use
1G8,EDDIE DEW MEMORIAL AIRPARK,AGL,TORONTO,OH,Public Use
BMI,CENTRAL IL RGNL ARPT AT BLOOMINGTON-NORMAL,AGL,BLOOMINGTON/NORMAL,IL,Federalized/Commercial
HDN,YAMPA VALLEY,ANM,HAYDEN,CO,Public Use
36U,HEBER CITY MUNI - RUSS MCDONALD FIELD,ANM,HEBER,UT,Public Use
9N1,VANSANT,AEA,ERWINNA,PA,Public Use
CQA,LAKEFIELD,AGL,CELINA,OH,Public Use
8N1,GRIMES,AEA,BETHEL,PA,Public Use
C15,PEKIN MUNI,AGL,PEKIN,IL,Public Use
MZZ,MARION MUNI,AGL,MARION,IN,Public Use
PIT,PITTSBURGH INTL,AEA,PITTSBURGH,PA,Federalized/Commercial
D63,DINSMORE,AWP,DINSMORE,CA,Public Use
AXV,NEIL ARMSTRONG,AGL,WAPAKONETA,OH,Public Use
CAG,CRAIG-MOFFAT,ANM,CRAIG,CO,Public Use
RDD,REDDING MUNI,AWP,REDDING,CA,Federalized/Commercial
IML,IMPERIAL MUNI,ACE,IMPERIAL,NE,Public Use
0V3,PIONEER VILLAGE FIELD,ACE,MINDEN,NE,Public Use
SBS,STEAMBOAT SPRINGS/BOB ADAMS FIELD,ANM,STEAMBOAT SPRINGS,CO,Public Use
MQB,MACOMB MUNI,AGL,MACOMB,IL,Public Use
47N,CENTRAL JERSEY RGNL,AEA,MANVILLE,NJ,Public Use
4I9,MORROW COUNTY,AGL,MOUNT GILEAD,OH,Public Use
O74,ELLIOTTS LANDING,AGL,MOUNT VICTORY,OH,Public Use
OKK,KOKOMO MUNI,AGL,KOKOMO,IN,Public Use
7G1,HERRON,AEA,NEW CUMBERLAND,WV,Public Use
10G,HOLMES COUNTY,AGL,MILLERSBURG,OH,Public Use
5I2,FLORA MUNI,AGL,FLORA,IN,Public Use
K43,UNIONVILLE MUNI,ACE,UNIONVILLE,MO,Public Use
O12,GRAND LAKE ST MARYS,AGL,ST MARYS,OH,Public Use
1I9,DELPHI MUNI,AGL,DELPHI,IN,Public Use
F62,HAYFORK,AWP,HAYFORK,CA,Public Use
FOT,ROHNERVILLE,AWP,FORTUNA,CA,Public Use
74N,BENDIGO,AEA,TOWER CITY,PA,Public Use
TSO,CARROLL COUNTY-TOLSON,AGL,CARROLLTON,OH,Public Use
N40,SKY MANOR,AEA,PITTSTOWN,NJ,Public Use
CTK,INGERSOLL,AGL,CANTON,IL,Public Use
HEQ,HOLYOKE,ANM,HOLYOKE,CO,Public Use
XLL,ALLENTOWN QUEEN CITY MUNI,AEA,ALLENTOWN,PA,Public Use
1I8,CONVERSE,AGL,CONVERSE,IN,Public Use
O85,BENTON FIELD,AWP,REDDING,CA,Public Use
1A8,EMPIRE,AWP,EMPIRE,NV,Public Use
N51,SOLBERG-HUNTERDON,AEA,READINGTON,NJ,Public Use
5I6,GALVESTON,AGL,GALVESTON,IN,Public Use
FMZ,FAIRMONT STATE AIRFIELD,ACE,FAIRMONT,NE,Public Use
N85,ALEXANDRIA,AEA,PITTSTOWN,NJ,Public Use
P34,MIFFLINTOWN,AEA,MIFFLINTOWN,PA,Public Use
BAM,BATTLE MOUNTAIN,AWP,BATTLE MOUNTAIN,NV,Public Use
9G1,ROCK,AEA,PITTSBURGH,PA,Public Use
HSI,HASTINGS MUNI,ACE,HASTINGS,NE,Public Use
AFK,NEBRASKA CITY MUNI,ACE,NEBRASKA CITY,NE,Public Use
I95,HARDIN COUNTY,AGL,KENTON,OH,Public Use
TVY,BOLINDER FIELD-TOOELE VALLEY,ANM,TOOELE,UT,Public Use
STK,STERLING MUNI,ANM,STERLING,CO,Public Use
MNN,MARION MUNI,AGL,MARION,OH,Public Use
LDJ,LINDEN,AEA,LINDEN,NJ,Public Use
CEK,CRETE MUNI,ACE,CRETE,NE,Public Use
U42,SOUTH VALLEY RGNL,ANM,SALT LAKE CITY,UT,Public Use
17V,HAXTUN MUNI,ANM,HAXTUN,CO,Public Use
H47,HYAMPOM,AWP,HYAMPOM,CA,Public Use
SMQ,SOMERSET,AEA,SOMERVILLE,NJ,Public Use
IDI,INDIANA COUNTY/JIMMY STEWART FLD/,AEA,INDIANA,PA,Public Use
LWD,LAMONI MUNI,ACE,LAMONI,IA,Public Use
Y46,BEDFORD MUNI,ACE,BEDFORD,IA,Public Use
47V,CURTIS MUNI,ACE,CURTIS,NE,Public Use
JFK,JOHN F KENNEDY INTL,AEA,NEW YORK,NY,Federalized/Commercial
2D7,BEACH CITY,AGL,BEACH CITY,OH,Public Use
5D6,PARSONS,AGL,CARROLLTON,OH,Public Use
1Q2,SPAULDING,AWP,SUSANVILLE,CA,Public Use
08K,HARVARD STATE,ACE,HARVARD,NE,Public Use
ABE,LEHIGH VALLEY INTL,AEA,ALLENTOWN,PA,Federalized/Commercial
FSW,FORT MADISON MUNI,ACE,FORT MADISON,IA,Public Use
PIA,GENERAL DOWNING - PEORIA INTL,AGL,PEORIA,IL,Federalized/Commercial
02G,COLUMBIANA COUNTY,AGL,EAST LIVERPOOL,OH,Public Use
RVL,MIFFLIN COUNTY,AEA,REEDSVILLE,PA,Public Use
TVK,CENTERVILLE MUNI,ACE,CENTERVILLE,IA,Public Use
EWR,NEWARK LIBERTY INTL,AEA,NEWARK,NJ,Federalized/Commercial
JRB,DOWNTOWN MANHATTAN/WALL ST,AEA,NEW YORK,NY,Public Use
43I,MISSISSINEWA RESERVOIR LANDING AREA,AGL,PERU,IN,Public Use
1Y3,JUDGE LEWIS FLD MT AYR MUNI,ACE,MOUNT AYR,IA,Public Use
ZER,SCHUYLKILL COUNTY /JOE ZERBEY/,AEA,POTTSVILLE,PA,Public Use
P09,LAKEHILL,AEA,MARS,PA,Public Use
AOH,LIMA ALLEN COUNTY,AGL,LIMA,OH,Public Use
MCX,WHITE COUNTY,AGL,MONTICELLO,IN,Public Use
GGP,LOGANSPORT/CASS COUNTY,AGL,LOGANSPORT,IN,Public Use
C40,MILLER,AGL,BLUFFTON,IN,Public Use
ENV,WENDOVER,ANM,WENDOVER,UT,Public Use
O19,KNEELAND,AWP,EUREKA,CA,Public Use
ICL,SCHENCK FIELD,ACE,CLARINDA,IA,Public Use
EAR,KEARNEY RGNL,ACE,KEARNEY,NE,Public Use
FRG,REPUBLIC,AEA,FARMINGDALE,NY,Public Use
4K6,BLOOMFIELD MUNI,ACE,BLOOMFIELD,IA,Public Use
6N7,NEW YORK SKYPORTS INC,AEA,NEW YORK,NY,Public Use
6K9,KEOSAUQUA MUNI,ACE,KEOSAUQUA,IA,Public Use
P91,FLYING M AERODROME,AEA,GERMANSVILLE,PA,Public Use
N43,BRADEN AIRPARK,AEA,EASTON,PA,Public Use
6N5,EAST 34TH STREET,AEA,NEW YORK,NY,Public Use
O54,LONNIE POOL FIELD/WEAVERVILLE,AWP,WEAVERVILLE,CA,Public Use
33V,WALDEN-JACKSON COUNTY,ANM,WALDEN,CO,Public Use
SDA,SHENANDOAH MUNI,ACE,SHENANDOAH,IA,Public Use
GQQ,GALION MUNI,AGL,GALION,OH,Public Use
JRA,WEST 30TH ST.,AEA,NEW YORK,NY,Public Use
,,,,,
23N,BAYPORT AERODROME,AEA,BAYPORT,NY,Public Use
50I,KENTLAND MUNI,AGL,KENTLAND,IN,Public Use
IWH,WABASH MUNI,AGL,WABASH,IN,Public Use
69N,SLATINGTON,AEA,SLATINGTON,PA,Public Use
BVI,BEAVER COUNTY,AEA,BEAVER FALLS,PA,Public Use
2C6,TRI-COUNTY,AGL,YATES CITY,IL,Public Use
BTP,BUTLER COUNTY/K W SCHOLTER FIELD,AEA,BUTLER,PA,Public Use
LGA,LA GUARDIA,AEA,NEW YORK,NY,Federalized/Commercial
O33,EUREKA MUNI,AWP,EUREKA,CA,Public Use
17G,PORT BUCYRUS-CRAWFORD COUNTY,AGL,BUCYRUS,OH,Public Use
BRL,SOUTHEAST IOWA RGNL,ACE,BURLINGTON,IA,Public Use
I76,PERU MUNI,AGL,PERU,IN,Public Use
SLC,SALT LAKE CITY INTL,ANM,SALT LAKE CITY,UT,Federalized/Commercial
LXN,JIM KELLY FIELD,ACE,LEXINGTON,NE,Public Use
0D7,ADA,AGL,ADA,OH,Public Use
ISP,LONG ISLAND MAC ARTHUR,AEA,NEW YORK,NY,Federalized/Commercial
3MY,MOUNT HAWLEY AUXILIARY,AGL,PEORIA,IL,Public Use
MMU,MORRISTOWN MUNI,AEA,MORRISTOWN,NJ,Public Use
PJC,ZELIENOPLE MUNI,AEA,ZELIENOPLE,PA,Public Use
O39,RAVENDALE,AWP,RAVENDALE,CA,Public Use
EKA,MURRAY FIELD,AWP,EUREKA,CA,Public Use
22N,JAKE ARNER MEMORIAL,AEA,LEHIGHTON,PA,Public Use
N16,CENTRE AIRPARK,AEA,CENTRE HALL,PA,Public Use
N05,HACKETTSTOWN,AEA,HACKETTSTOWN,NJ,Public Use
SEG,PENN VALLEY,AEA,SELINSGROVE,PA,Public Use
MFD,MANSFIELD LAHM RGNL,AGL,MANSFIELD,OH,Public Use
HWV,BROOKHAVEN,AEA,SHIRLEY,NY,Public Use
49N,LUFKER,AEA,EAST MORICHES,NY,Public Use
EKO,ELKO RGNL,AWP,ELKO,NV,Federalized/Commercial
7N3,SANDS POINT,AEA,PORT WASHINGTON,NY,Public Use
1N2,SPADARO,AEA,EAST MORICHES,NY,Public Use
64V,WALLACE MUNI,ACE,WALLACE,NE,Public Use
N79,NORTHUMBERLAND COUNTY,AEA,SHAMOKIN,PA,Public Use
5D1,STARK COUNTY SHERIFF,AGL,CANTON,OH,Public Use
FOK,FRANCIS S GABRESKI,AEA,WESTHAMPTON BEACH,NY,Public Use
14N,BELTZVILLE,AEA,LEHIGHTON,PA,Public Use
6N6,EVERS,AEA,NEW YORK,NY,Public Use
87N,SOUTHAMPTON,AEA,SOUTHAMPTON,NY,Public Use
UNV,UNIVERSITY PARK,AEA,STATE COLLEGE,PA,Federalized/Commercial
2N7,LITTLE FERRY,AEA,LITTLE FERRY,NJ,Public Use
TEB,TETERBORO,AEA,TETERBORO,NJ,Public Use
LNK,LINCOLN,ACE,LINCOLN,NE,Federalized/Commercial
3G9,BUTLER FARM SHOW,AEA,BUTLER,PA,Public Use
HHG,HUNTINGTON MUNI,AGL,HUNTINGTON,IN,Public Use
VNW,VAN WERT COUNTY,AGL,VAN WERT,OH,Public Use
SWT,SEWARD MUNI,ACE,SEWARD,NE,Public Use
0J9,FLYING V,ACE,UTICA,NE,Public Use
BTF,SKYPARK,ANM,BOUNTIFUL,UT,Public Use
CZD,COZAD MUNI,ACE,COZAD,NE,Public Use
GGF,GRANT MUNI,ACE,GRANT,NE,Public Use
12G,SHELBY COMMUNITY,AGL,SHELBY,OH,Public Use
BJJ,WAYNE COUNTY,AGL,WOOSTER,OH,Public Use
CDW,ESSEX COUNTY,AEA,CALDWELL,NJ,Public Use
56D,WYANDOT COUNTY,AGL,UPPER SANDUSKY,OH,Public Use
8G8,KOONS,AGL,SALEM,OH,Public Use
79N,RIDGE SOARING,AEA,UNIONVILLE,PA,Public Use
PSB,MID-STATE,AEA,PHILIPSBURG,PA,Public Use
5G7,BLUFFTON,AGL,BLUFFTON,OH,Public Use
N96,BELLEFONTE,AEA,BELLEFONTE,PA,Public Use
N74,PENNS CAVE,AEA,CENTRE HALL,PA,Public Use
71N,SUNBURY,AEA,SUNBURY,PA,Public Use
AUH,AURORA MUNI - AL POTTER FIELD,ACE,AURORA,NE,Public Use
JYR,YORK MUNI,ACE,YORK,NE,Public Use
WMC,WINNEMUCCA MUNI,AWP,WINNEMUCCA,NV,Public Use
3G4,ASHLAND COUNTY,AGL,ASHLAND,OH,Public Use
3G6,TRI-CITY,AGL,SEBRING,OH,Public Use
H11,SUNBURY,AEA,SUNBURY,PA,Public Use
CAK,AKRON-CANTON RGNL,AGL,AKRON,OH,Federalized/Commercial
33U,DUTCH JOHN,ANM,DUTCH JOHN,UT,Public Use
PNT,PONTIAC MUNI,AGL,PONTIAC,IL,Public Use
GTE,QUINN FIELD,ACE,GOTHENBURG,NE,Public Use
C66,MONMOUTH MUNI,AGL,MONMOUTH,IL,Public Use
GBG,GALESBURG MUNI,AGL,GALESBURG,IL,Public Use
MPZ,MOUNT PLEASANT MUNI,ACE,MOUNT PLEASANT,IA,Public Use
N07,LINCOLN PARK,AEA,LINCOLN PARK,NJ,Public Use
RZL,JASPER COUNTY,AGL,RENSSELAER,IN,Public Use
38D,SALEM AIRPARK INC,AGL,SALEM,OH,Public Use
8N8,DANVILLE,AEA,DANVILLE,PA,Public Use
PMV,PLATTSMOUTH MUNI,ACE,PLATTSMOUTH,NE,Public Use
6C2,OHIO DUSTING CO INC,AGL,PANDORA,OH,Public Use
HTO,EAST HAMPTON,AEA,EAST HAMPTON,NY,Public Use
4G4,YOUNGSTOWN ELSER METRO,AGL,YOUNGSTOWN,OH,Public Use
13N,TRINCA,AEA,ANDOVER,NJ,Public Use
N35,PUNXSUTAWNEY MUNI,AEA,PUNXSUTAWNEY,PA,Public Use
GRI,CENTRAL NEBRASKA RGNL,ACE,GRAND ISLAND,NE,Federalized/Commercial
2D1,BARBER,AGL,ALLIANCE,OH,Public Use
7V8,JULESBURG MUNI,ANM,JULESBURG,CO,Public Use
1N7,BLAIRSTOWN,AEA,BLAIRSTOWN,NJ,Public Use
1N3,ALBERT,AEA,PHILIPSBURG,PA,Public Use
ACV,ARCATA,AWP,ARCATA/EUREKA,CA,Public Use
