Airport,AP_NAME,FAA REGION,CITY,STATE,AP Type
4R9,DAUPHIN ISLAND,ASO,DAUPHIN ISLAND,AL,Public Use
HEG,HERLONG RECREATIONAL,ASO,JACKSONVILLE,FL,Public Use
JKA,JACK EDWARDS,ASO,GULF SHORES,AL,Public Use
24J,SUWANNEE COUNTY,ASO,LIVE OAK,FL,Public Use
45R,HAWTHORNE FIELD,ASW,KOUNTZE/SILSBEE,TX,Public Use
CRG,CRAIG MUNI,ASO,JACKSONVILLE,FL,Public Use
ASD,SLIDELL,ASW,SLIDELL,LA,Public Use
CXO,LONE STAR EXECUTIVE,ASW,HOUSTON,TX,Public Use
6R3,CLEVELAND MUNI,ASW,CLEVELAND,TX,Public Use
3R9,LAKEWAY AIRPARK,ASW,AUSTIN,TX,Public Use
ECP,NORTHWEST FLORIDA BEACHES INTL,ASO,PANAMA CITY,FL,Public Use
66Y,DIAMONDHEAD,ASO,DIAMONDHEAD,MS,Public Use
60R,NAVASOTA MUNI,ASW,NAVASOTA,TX,Public Use
HSA,STENNIS INTL,ASO,BAY ST LOUIS,MS,Public Use
MRF,MARFA MUNI,ASW,MARFA,TX,Public Use
L89,KIBS AIR PARK,ASW,BRISTOL,LA,Public Use
E38,ALPINE-CASPARIS MUNI,ASW,ALPINE,TX,Public Use
35M,VORTEX,ASO,LONG BEACH,MS,Public Use
5R2,OCEAN SPRINGS,ASO,OCEAN SPRINGS,MS,Public Use
TLH,TALLAHASSEE RGNL,ASO,TALLAHASSEE,FL,Federalized/Commercial
EDC,AUSTIN EXECUTIVE,ASW,AUSTIN,TX,Public Use
82J,FERGUSON,ASO,PENSACOLA,FL,Public Use
DTS,DESTIN-FORT WALTON BEACH,ASO,DESTIN,FL,Public Use
1J9,FORT WALTON BEACH,ASO,NAVARRE,FL,Public Use
GPT,GULFPORT-BILOXI INTL,ASO,GULFPORT,MS,Public Use
5R4,FOLEY MUNI,ASO,FOLEY,AL,Public Use
5R8,DE QUINCY INDUSTRIAL AIRPARK,ASW,DE QUINCY,LA,Public Use
L31,ST. TAMMANY RGNL,ASW,COVINGTON,LA,Public Use
5AL,FISH RIVER,ASO,FAIRHOPE,AL,Public Use
5R7,ROY E. RAY,ASO,BAYOU LA BATRE,AL,Public Use
CQF,H L SONNY CALLAHAN,ASO,FAIRHOPE,AL,Public Use
PQL,TRENT LOTT INTL,ASO,PASCAGOULA,MS,Public Use
4R7,EUNICE,ASW,EUNICE,LA,Public Use
PNS,PENSACOLA GULF COAST RGNL,ASO,PENSACOLA,FL,Federalized/Commercial
88R,SPICEWOOD,ASW,SPICEWOOD,TX,Public Use
F95,CALHOUN COUNTY,ASO,BLOUNTSTOWN,FL,Public Use
MJD,PICAYUNE MUNI,ASO,PICAYUNE,MS,Public Use
JAX,JACKSONVILLE INTL,ASO,JACKSONVILLE,FL,Federalized/Commercial
RYW,LAGO VISTA TX - RUSTY ALLEN,ASW,LAGO VISTA,TX,Public Use
2R5,ST ELMO,ASO,ST ELMO,AL,Public Use
JCT,KIMBLE COUNTY,ASW,JUNCTION,TX,Public Use
RWV,CALDWELL MUNI,ASW,CALDWELL,TX,Public Use
HDC,HAMMOND NORTHSHORE RGNL,ASW,HAMMOND,LA,Public Use
DZB,HORSESHOE BAY RESORT,ASW,HORSESHOE BAY,TX,Public Use
83J,COASTAL,ASO,PENSACOLA,FL,Public Use
BTR,"BATON ROUGE METROPOLITAN, RYAN FIELD",ASW,BATON ROUGE,LA,Federalized/Commercial
68J,TALLAHASSEE COMMERCIAL,ASO,TALLAHASSEE /HAVANA/,FL,Public Use
OPL,ST LANDRY PARISH-AHART FIELD,ASW,OPELOUSAS,LA,Public Use
T74,TAYLOR MUNI,ASW,TAYLOR,TX,Public Use
SOA,SONORA MUNI,ASW,SONORA,TX,Public Use
CLL,EASTERWOOD FIELD,ASW,COLLEGE STATION,TX,Public Use
2J9,QUINCY MUNI,ASO,QUINCY,FL,Public Use
2KL,SUNRISE BEACH,ASW,SUNRISE BEACH VILLAGE,TX,Public Use
77T,KITTIE HILL,ASW,LEANDER,TX,Public Use
FHB,FERNANDINA BEACH MUNI,ASO,FERNANDINA BEACH,FL,Public Use
BFM,MOBILE DOWNTOWN,ASO,MOBILE,AL,Public Use
RCK,H H COFFIELD RGNL,ASW,ROCKDALE,TX,Public Use
2R4,PETER PRINCE FIELD,ASO,MILTON,FL,Public Use
T12,KIRBYVILLE,ASW,KIRBYVILLE,TX,Public Use
GTU,GEORGETOWN MUNI,ASW,GEORGETOWN,TX,Public Use
00R,LIVINGSTON MUNI,ASW,LIVINGSTON,TX,Public Use
01J,HILLIARD AIRPARK,ASO,HILLIARD,FL,Public Use
MOB,MOBILE RGNL,ASO,MOBILE,AL,Federalized/Commercial
7L9,PETE ANTIE MUNI,ASW,MELVILLE,LA,Public Use
CFD,COULTER FIELD,ASW,BRYAN,TX,Public Use
HZR,FALSE RIVER RGNL,ASW,NEW ROADS,LA,Public Use
54J,DEFUNIAK SPRINGS,ASO,DEFUNIAK SPRINGS,FL,Public Use
T92,MASON COUNTY,ASW,MASON,TX,Public Use
OZA,OZONA MUNI,ASW,OZONA,TX,Public Use
BMQ,BURNET MUNI KATE CRADDOCK FIELD,ASW,BURNET,TX,Public Use
UTS,HUNTSVILLE MUNI,ASW,HUNTSVILLE,TX,Public Use
ACP,ALLEN PARISH,ASW,OAKDALE,LA,Public Use
4J6,ST MARYS,ASO,ST MARYS,GA,Public Use
09R,TYLER COUNTY,ASW,WOODVILLE,TX,Public Use
CEW,BOB SIKES,ASO,CRESTVIEW,FL,Public Use
VLD,VALDOSTA RGNL,ASO,VALDOSTA,GA,Federalized/Commercial
AQO,LLANO MUNI,ASW,LLANO,TX,Public Use
M13,POPLARVILLE-PEARL RIVER COUNTY,ASO,POPLARVILLE,MS,Public Use
3J6,DAVIS FIELD,ASO,FOLKSTON,GA,Public Use
4J5,QUITMAN BROOKS COUNTY,ASO,QUITMAN,GA,Public Use
BXA,GEORGE R CARR MEMORIAL AIR FLD,ASW,BOGALUSA,LA,Public Use
2R7,FRANKLINTON,ASW,FRANKLINTON,LA,Public Use
DRI,BEAUREGARD RGNL,ASW,DE RIDDER,LA,Public Use
MAI,MARIANNA MUNI,ASO,MARIANNA,FL,Public Use
M24,DEAN GRIFFIN MEMORIAL,ASO,WIGGINS,MS,Public Use
1J0,TRI-COUNTY,ASO,BONIFAY,FL,Public Use
27R,ELDORADO,ASW,ELDORADO,TX,Public Use
1R8,BAY MINETTE MUNI,ASO,BAY MINETTE,AL,Public Use
LHB,HEARNE MUNI,ASW,HEARNE,TX,Public Use
T35,CAMERON MUNI AIRPARK,ASW,CAMERON,TX,Public Use
61R,NEWTON MUNI,ASW,NEWTON,TX,Public Use
JAS,JASPER COUNTY-BELL FIELD,ASW,JASPER,TX,Public Use
70J,CAIRO-GRADY COUNTY,ASO,CAIRO,GA,Public Use
TVI,THOMASVILLE RGNL,ASO,THOMASVILLE,GA,Public Use
2F0,IRAAN MUNI,ASW,IRAAN,TX,Public Use
15A,MARK REYNOLDS/NORTH MOBILE COUNTY,ASO,CREOLA,AL,Public Use
